TipType	TipTemplateId	Notice	zh_CN	en_US	pt_PT	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP	Unnamed: 18	Unnamed: 19
1008031		钻石点升级提示	▢FFFFFFFF钻石升级到%1s级	▢FFFFFFFFDiamond upgraded to level %1s	▢FFFFFFFFDiamante atualizou para nível%1s	▢FFFFFFFFDiamante atualizou para nível%1s	▢FFFFFFFF Алмаз улучшен до уровня %1s	▢FFFFFFFF다이아몬드가 %1s 레벨로 업그레이드되었습니다.	▢FFFFFFFFDiamond mis à niveau au niveau%1s	▢FFFFFFFFDiamond mis à niveau au niveau%1s	▢FFFFFFFFDiamond actualizado al nivel%1s	▢FFFFFFFF Diamante aggiornato al livello%1s	▢FFFFFFFFBerlian ditingkatkan ke level%1s	▢FFFFFFFF เพชรอัพเกรดเป็นระดับ%1s	▢FFFFFFFFElmas%1s düzeyine yükseltildi	▢FFFFFFFFKim cương nâng cấp đến %1s	▢FFFFFFFFダイヤモンドがレベル%1sにアップグレードされました		
1008032		绿宝石点升级提示	▢FFFFFFFF绿宝石升级到%1s级	▢FFFFFFFFEmerald upgraded to level %1s	▢FFFFFFFFEsmeralda atualizou para nível%1s	▢FFFFFFFFEsmeralda atualizou para nível%1s	▢FFFFFFFFИзумруд повышен до уровня %1s	▢FFFFFFFF에메랄드 가 %1s 레벨로 업그레이드되었습니다	▢FFFFFFFFEmerald amélioré au niveau%1s	▢FFFFFFFFEmerald amélioré au niveau%1s	▢FFFFFFFFEmerald actualizado al nivel%1s	▢FFFFFFFFEmerald aggiornato al livello%1s	▢FFFFFFFFEmerald ditingkatkan ke level%1s	▢FFFFFFFF มรกต อัปเกรดเป็นระดับ%1s วินาที	▢FFFFFFFFEmerald%1s seviyesine yükseltildi	▢FFFFFFFFNgọc bích nâng cấp đến %1s	▢FFFFFFFFエメラルドがレベル%1sにアップグレードされました		
1008033	msgOutOfArea	超出地图范围	▢FFFFFFFF你已超出地图范围!!!	▢FFFFFFFFYou are out of the map!	▢FFFFFFFFVocê está fora do mapa!	▢FFFFFFFFVocê está fora do mapa!	▢FFFFFFFFВы вне карты!	▢FFFFFFFF지도에서 벗어났습니다!	▢FFFFFFFFVous êtes hors de la carte!	▢FFFFFFFFVous êtes hors de la carte!	▢FFFFFFFF¡Estás fuera del mapa!	▢FFFFFFFFSei fuori dalla mappa!	▢FFFFFFFFAnda keluar dari peta!	▢FFFFFFFF คุณออกไปจากแผนที่แล้ว!	▢FFFFFFFFHarita dışındasınız!	▢FFFFFFFFBạn đã vượt qua bản đồ!!!	▢FFFFFFFFあなたはマップの外にいます！		
1008034	Red	红队	红队	Red	Red	Red	Крас.	Red	Red	Red	Red	Red	Red	Red	Red	Red	Red	Red	Red
1008035	Blue	蓝队	蓝队	Blue	Blue	Blue	Син.	Blue	Blue	Blue	Blue	Blue	Blue	Blue	Blue	Blue	Blue	Blue	Blue
1008036	Green	绿队	绿队	Green	Green	Green	Зел.	Green	Green	Green	Green	Green	Green	Green	Green	Green	Green	Green	Green
1008037	Yellow	黄队	黄队	Yellow	Yellow	Yellow	Жел.	Yellow	Yellow	Yellow	Yellow	Yellow	Yellow	Yellow	Yellow	Yellow	Yellow	Yellow	Yellow
1008038		调整队伍	▢FFFFFFFF为了游戏平衡，调整了队伍%1s	▢FFFFFFFFBalance for the game,Adjust the team%1s	▢FFFFFFFFAjustou a equipe %1s para o equilíbrio do jogo	▢FFFFFFFFAjustou a equipe %1s para o equilíbrio do jogo	▢FFFFFFFF Баланс за игру, настроить команду%1s	▢FFFFFFFFBalance for the game,Adjust the team%1s	▢FFFFFFFFBalance for the game,Adjust the team%1s	▢FFFFFFFFBalance for the game,Adjust the team%1s	▢FFFFFFFFBalance for the game,Adjust the team%1s	▢FFFFFFFFBalance for the game,Adjust the team%1s	▢FFFFFFFFBalance for the game,Adjust the team%1s	▢FFFFFFFF ยอดคงเหลือสำหรับเกมปรับทีม%1s	▢FFFFFFFFBalance for the game,Adjust the team%1s	▢FFFFFFFFĐiều chỉnh đội ngũ vì sự cân bằng%1s	▢FFFFFFFFゲームバランスのために、%1sチームを調整しました		
1008039	Cyan	青队	青队	Cyan	Cyan	Cyan	Cyan	Cyan	Cyan	Cyan	Cyan	Cyan	Cyan	Cyan	Cyan	Cyan	Cyan		
1008040	White	白队	白队	White	White	White	White	White	White	White	White	White	White	White	White	White	White		
1008041	Pink	粉队	粉队	Pink	Pink	Pink	Pink	Pink	Pink	Pink	Pink	Pink	Pink	Pink	Pink	Pink	Pink		
1008042	Gray	灰队	灰队	Gray	Gray	Gray	Gray	Gray	Gray	Gray	Gray	Gray	Gray	Gray	Gray	Gray	Gray		
1046001	GameName	游戏名称	起床战争	Bed War	Bed War	Bed War	Bed War	Bed War	Bed War	Bed War	Bed War	Bed War	Bed War	Bed War	Bed War	Bed War	Bed War		
1046002	GameName	游戏名称	超过特权最大时间	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	Exceeding the maximum time of privilege	特権の有効期間を超えました		
1046003	GameName	秘宝挑战结束提示	本轮秘宝挑战将在%1s天后结束	The challenge will end in %1s day	O desafio terminará em %1s dia	O desafio terminará em %1s dia	Задача закончится через%1s день	도전은 %1s 일 후에 종료됩니다.	Die Herausforderung endet in%1s Tag	Le défi se terminera dans%1s jour	El reto de tesodo acabará después de %1s día	La sfida terminerà tra%1s giorno	Tantangan akan berakhir dalam%1s hari	ความท้าทายจะสิ้นสุดใน%1s วัน	Yarışma%1s gün içinde sona erecek	Thử thách sẽ kết thúc sau%1s ngày	今回の秘宝挑戦は%1s日後に終了します		
1046004	GameName	秘宝挑战结束提示	挑战将在%1s天后结束，最快完成需要%2s天。	The challenge will end in %1s day, with %2s days as soon as possible.	O desafio terminará em %1s dia, com %2s dias assim que possível.	O desafio terminará em %1s dia, com %2s dias assim que possível.	Задание закончится через%1s день, а через%2s дней как можно скорее.	도전은 %1s 일 후에 종료되며 가능한 한 빨리 %2s 일이 걸립니다.	Die Herausforderung endet in%1s Tag, mit%2s Tagen so schnell wie möglich.	Le défi se terminera dans%1s jour, avec%2s jours dès que possible.	El reto acabará después de %1s día, %2s lo antes posible	La sfida terminerà tra%1s giorno, con%2s giorni il prima possibile.	Tantangan akan berakhir dalam %1s hari, dengan %2s hari secepat mungkin.	ความท้าทายจะสิ้นสุดใน%1s วันโดยให้%2s วันโดยเร็วที่สุด	Yarışma,%1s gün içinde,%2s gün en kısa sürede sona erecek.	Thử thách sẽ kết thúc sau%1s ngày, với%2s ngày sớm nhất có thể.	挑戦は%1s後に終了します、最速にクリアしても%2s日が必要です。		
1046005	GameName	秘宝挑战日拆床任务	每天拆掉敌人%1s张床	Remove %1s enemy bed every day	Remova %1s cama inimiga todos os dias	Remova %1s cama inimiga todos os dias	Убирайте%1s вражескую кровать каждый день	매일 %1s 적 침대 제거	Entferne jeden Tag%1s feindliches Bett	Supprimer le lit ennemi de%1s chaque jour	Destruir %1s cama de enemigos cada día	Rimuovi%1s letto nemico ogni giorno	Hapus%1s tempat tidur musuh setiap hari	ลบเตียงศัตรู%1s ทุกวัน	Her gün%1s düşman yatağını kaldırın	Loại bỏ giường đối phương%1s mỗi ngày	毎日にベッドを%1s回壊す		
1046006	GameName	秘宝挑战日搭方块任务	每天在游戏内搭建%1s个方块	Build %1s block in the game every day	Construir bloco %1s no jogo todos os dias	Construir bloco %1s no jogo todos os dias	Стройте%1s блок в игре каждый день	매일 게임에서 %1s 블록을 만드세요	Baue jeden Tag%1s Block im Spiel	Construisez le bloc%1s dans le jeu tous les jours	Construir %1s bloque en el juego cada día	Costruisci il blocco%1s nel gioco ogni giorno	Bangun%1s blok di game setiap hari	สร้างบล็อก%1s ในเกมทุกวัน	Oyunda her gün%1s blok oluşturun	Xây dựng khối%1s trong trò chơi mỗi ngày	毎日にゲーム内にブロックを%1s個使用する		
1046007	GameName	秘宝挑战日伤害任务	每天对敌人造成%1s点伤害	Deal %1s point of damage to the enemy every day	Causa %1s ponto de dano ao inimigo todos os dias	Causa %1s ponto de dano ao inimigo todos os dias	Наносить%1s урона противнику каждый день	매일 적에게 %1s 포인트의 피해를줍니다.	Füge dem Feind jeden Tag%1s Schadenspunkt zu	Inflige%1s points de dégâts à l'ennemi chaque jour	Causar %1s daño a enemigos cada día	Infligge%1s danni al nemico ogni giorno	Memberikan%1s poin kerusakan pada musuh setiap hari	ทำความเสียหาย %1s วินาทีให้กับศัตรูทุกวัน	Her gün düşmana%1s puan hasar verin	Gây sát thương%1s giây cho kẻ thù mỗi ngày	毎日に敵に%1s点のダメージを与える		
1046008	GameName	秘宝挑战日击败任务	每天在游戏内击败%1s个敌人	Defeat %1s enemy in the game every day	Derrote %1s inimigo no jogo todos os dias	Derrote %1s inimigo no jogo todos os dias	Ежедневно побеждайте%1s врага в игре	매일 게임에서 %1s 적을 처치하십시오	Besiege jeden Tag%1s Gegner im Spiel	Vaincre%1s ennemi dans le jeu tous les jours	Derrotar a %1s enemigo en el juego cada día	Sconfiggi%1s nemico nel gioco ogni giorno	Kalahkan%1s musuh dalam game setiap hari	เอาชนะศัตรู %1s ในเกมทุกวัน	Her gün oyunda%1s düşmanı yen	Đánh bại kẻ thù%1s giây trong trò chơi mỗi ngày	毎日にゲーム内に敵を%1s人キルする		
1046009	GameName	秘宝挑战日收集钻石任务	每天在游戏内收集%1s个钻石	Collect %1s diamond in the game every day	Colete %1s diamantes no jogo todos os dias	Colete %1s diamantes no jogo todos os dias	Собирайте%1s алмаз в игре каждый день	매일 게임에서 %1s 다이아몬드 수집	Sammle jeden Tag%1s Diamanten im Spiel	Collectez le diamant%1s dans le jeu tous les jours	Recolectar %1s diamante en el juego cada día	Raccogli%1s diamante nel gioco ogni giorno	Kumpulkan%1s berlian dalam game setiap hari	รวบรวมเพชร %1s ในเกมทุกวัน	Her gün oyunda%1s elmas toplayın	Thu thập kim cương%1s trong trò chơi mỗi ngày	毎日にゲーム内にダイヤモンドを%1s個集める		
1046010	GameName	秘宝挑战日收集宝石任务	每天在游戏内收集%1s个绿宝石	Collect %1s emerald in the game every day	Colete esmeralda %1s no jogo todos os dias	Colete esmeralda %1s no jogo todos os dias	Собирайте изумруд%1s в игре каждый день	매일 게임에서 %1s 에메랄드 수집	Sammle jeden Tag%1s Smaragd im Spiel	Collectez l'émeraude%1s dans le jeu tous les jours	Recolectar %1s esmeralda en el juego cada día	Raccogli%1s smeraldo nel gioco ogni giorno	Kumpulkan%1s zamrud dalam game setiap hari	รวบรวม%1s มรกตในเกมทุกวัน	Oyunda her gün%1s zümrüt toplayın	Thu thập%1s emerald trong trò chơi mỗi ngày	毎日にゲーム内にエメラルドを%1s個集める		
1046011	GameName	秘宝挑战日对战任务	每天进行%1s局任意模式的对战	Play %1s game in any mode every day	Jogue o jogo %1s em qualquer modo todos os dias	Jogue o jogo %1s em qualquer modo todos os dias	Играйте в игру%1s каждый день в любом режиме	매일 모든 모드에서 %1s 게임 플레이	Spielen Sie jeden Tag%1s in einem beliebigen Modus	Jouez à %1s fois mode arbitraire tous les jours	Jugar %1s partida de algún modo cada día	Gioca al gioco%1s in qualsiasi modalità ogni giorno	Mainkan game%1s dalam mode apa pun setiap hari	เล่นเกม%1s ในโหมดใดก็ได้ทุกวัน	Her gün%1s oyununu herhangi bir modda oynayın	Chơi trò chơi%1s ở bất kỳ chế độ nào mỗi ngày	毎日に任意モードの対戦を%1s回プレイする		
1046012	GameName	秘宝挑战日登录任务	每天登录%1s次游戏	Log in to the game once a day	Entre no jogo uma vez por dia	Entre no jogo uma vez por dia	Входить в игру один раз в день	하루에 한 번 게임에 로그인	Melde dich einmal am Tag beim Spiel an	Connectez-vous au jeu une fois par jour	Iniciar sesión %1s vez cada día	Accedi al gioco una volta al giorno	Masuk ke game sekali sehari	ล็อกอินเข้าเกมวันละครั้ง	Oyuna günde bir kez giriş yapın	Đăng nhập vào game mỗi ngày một lần	毎日にゲームを%1s回ログインする		
1046013	GameName	秘宝挑战日前10任务	每天获得%1s次前10名的战绩	Get %1s top 10 records every day	Obtenha %1s dos 10 melhores registros todos os dias	Obtenha %1s dos 10 melhores registros todos os dias	Получайте%1s лучших 10 записей каждый день	매일 %1s 상위 10 개 레코드 가져 오기	Holen Sie sich jeden Tag%1s Top 10-Datensätze	Obtenez le top 10 %1s fois par jour	Ocupar uno de los primeros 10 puestos %1s vez cada día	Ottieni%1s primi 10 record ogni giorno	Dapatkan%1s 10 rekaman teratas setiap hari	รับ%1s บันทึก 10 อันดับแรกทุกวัน	Her gün%1s ilk 10 kaydını alın	Nhận%1s 10 bản ghi hàng đầu mỗi ngày	毎日に%1s回順位が10位以内に入る		
1046014	GameName	秘宝挑战日宝箱任务	每天开启%1s个宝箱	Open %1s treasure chest every day	Abra o caixa do tesouro %1s todos os dias	Abra o caixa do tesouro %1s todos os dias	Открывайте сундук с сокровищами%1s каждый день	매일 %1s 보물 상자 열기	Öffne jeden Tag%1s Schatzkiste	Ouvrez le coffre au trésor de%1s tous les jours	Abrir %1s cofre de tesoro cada día	Apri lo scrigno del tesoro%1s ogni giorno	Buka peti harta karun%1s setiap hari	เปิดหีบสมบัติ%1s ทุกวัน	Her gün%1s hazine sandığı açın	Mở rương%1s giây mỗi ngày	毎日に宝箱を%1s個開く		
1046015	GameName	秘宝挑战日钥匙任务	每天消耗%1s个钥匙	Spend %1s key per day	Gaste a chave %1s por dia	Gaste a chave %1s por dia	Тратить%1s ключа в день	하루에 %1s 키 사용	Geben Sie%1s Schlüssel pro Tag aus	Dépenser%1s clé par jour	Consumir %1s llave cada día	Spendi%1s chiave al giorno	Belanjakan kunci%1s per hari	ใช้คีย์%1s วินาทีต่อวัน	Günde%1s anahtar harcayın	Sử dụng phím%1s mỗi ngày	毎日にキーを%1s本使用する		
1046016	GameName	秘宝挑战周拆床任务	每周拆掉敌人%1s张床	Remove %1s enemy bed every week	Remova %1s cama inimiga toda semana	Remova %1s cama inimiga toda semana	Удалите%1s вражескую кровать каждую неделю	매주 %1s 적 침대를 제거하십시오	Entferne jede Woche%1s feindliches Bett	Retirez le lit ennemi de%1s chaque semaine	Destruir %1s cama de enemigos cada semana	Rimuovi%1s letto nemico ogni settimana	Hapus%1s tempat tidur musuh setiap minggu	ลบเตียงศัตรู%1s ทุกสัปดาห์	Her hafta%1s düşman yatağını kaldırın	Loại bỏ giường đối phương%1s giây mỗi tuần	毎週にベッドを%1s回壊す		
1046017	GameName	秘宝挑战周搭方块任务	每周在游戏内搭建%1s个方块	Build %1s block in the game every week	Construir bloco %1s no jogo todas as semanas	Construir bloco %1s no jogo todas as semanas	Каждую неделю создавайте в игре блок%1s	매주 게임에서 %1s 블록을 만드세요	Baue jede Woche%1s Block im Spiel	Construisez le bloc%1s dans le jeu chaque semaine	Construir %1s bloque en el juego cada semana	Costruisci il blocco%1s nel gioco ogni settimana	Bangun%1s blok di game setiap minggu	สร้างบล็อก%1s ในเกมทุกสัปดาห์	Her hafta oyunda%1s blok oluşturun	Xây dựng khối%1s trong trò chơi mỗi tuần	毎週にゲーム内にブロックを%1s個使用する		
1046018	GameName	秘宝挑战周伤害任务	每周对敌人造成%1s点伤害	Deal %1s point of damage to the enemy every week	Causa %1s ponto de dano ao inimigo todas as semanas	Causa %1s ponto de dano ao inimigo todas as semanas	Каждую неделю наносите%1s сек. Урона врагу	매주 적에게 %1s 포인트의 피해를줍니다.	Füge dem Feind jede Woche% 1 Schadenspunkt zu	Inflige%1s points de dégâts à l'ennemi chaque semaine	Causar %1s daño a enemigos cada semana	Infliggi%1s punti di danno al nemico ogni settimana	Memberikan%1s poin kerusakan pada musuh setiap minggu	ทำความเสียหาย%1s วินาทีให้กับศัตรูทุกสัปดาห์	Her hafta düşmana%1s puan hasar verin	Gây sát thương%1s giây cho kẻ địch mỗi tuần	毎週に敵に%1s点のダメージを与える		
1046019	GameName	秘宝挑战周击败任务	每周在游戏内击败%1s个敌人	Defeat %1s enemy in the game every week	Derrote %1s inimigo no jogo todas as semanas	Derrote %1s inimigo no jogo todas as semanas	Побеждайте%1s врага в игре каждую неделю	매주 게임에서 %1s 적을 처치하십시오	Besiege jede Woche%1s Gegner im Spiel	Vaincre%1s ennemi dans le jeu chaque semaine	Derrotar a %1s enemigo en el juego cada semana	Sconfiggi%1s nemico nel gioco ogni settimana	Kalahkan%1s musuh dalam game setiap minggu	เอาชนะศัตรู%1s ในเกมทุกสัปดาห์	Her hafta oyunda%1s düşmanı yen	Đánh bại kẻ thù%1s giây trong trò chơi mỗi tuần	毎週にゲーム内に敵を%1s人キルする		
1046020	GameName	秘宝挑战周收集钻石任务	每周在游戏内收集%1s个钻石	Collect %1s diamond in the game every week	Colete %1s diamantes no jogo todas as semanas	Colete %1s diamantes no jogo todas as semanas	Собирайте%1s алмаз в игре каждую неделю	매주 게임에서 %1s 다이아몬드 수집	Sammle jede Woche%1s Diamanten im Spiel	Collectez le diamant%1s dans le jeu chaque semaine	Recolectar %1s diamante en el juego cada semana	Raccogli%1s diamante nel gioco ogni settimana	Kumpulkan%1s berlian dalam game setiap minggu	รวบรวมเพชร%1s ในเกมทุกสัปดาห์	Her hafta oyunda%1s elmas toplayın	Thu thập kim cương%1s trong trò chơi mỗi tuần	毎週にゲーム内にダイヤモンドを%1s個集める		
1046021	GameName	秘宝挑战周收集宝石任务	每周在游戏内收集%1s个绿宝石	Collect %1s emerald in the game every week	Colete esmeralda %1s no jogo todas as semanas	Colete esmeralda %1s no jogo todas as semanas	Собирайте изумруд%1s в игре каждую неделю	매주 게임에서 %1s 에메랄드 수집	Sammle jede Woche%1s Smaragd im Spiel	Collectez l'émeraude%1s dans le jeu chaque semaine	Recolectar %1s esmeralda en el juego cada semana	Raccogli%1s smeraldo nel gioco ogni settimana	Kumpulkan%1s zamrud dalam game setiap minggu	รวบรวม%1s มรกตในเกมทุกสัปดาห์	Her hafta oyunda%1s zümrüt toplayın	Thu thập%1s ngọc lục bảo trong trò chơi mỗi tuần	毎週にゲーム内にエメラルドを%1s個集める		
1046022	GameName	秘宝挑战周对战任务	每周进行%1s局任意模式的对战	Play %1s game in any mode every week	Jogue o jogo %1s em qualquer modo todas as semanas	Jogue o jogo %1s em qualquer modo todas as semanas	Играйте в игру%1s в любом режиме каждую неделю	매주 모든 모드에서 %1s 게임 플레이	Spiele jede Woche%1s in einem beliebigen Modus	Jouez à %1s fois mode arbitraire chaque semaine	Jugar %1s partida de algún modo cada semana	Gioca al gioco%1s in qualsiasi modalità ogni settimana	Mainkan game%1s dalam mode apa pun setiap minggu	เล่นเกม%1s ในโหมดใดก็ได้ทุกสัปดาห์	Her hafta herhangi bir modda%1s oyunu oynayın	Chơi trò chơi%1s ở bất kỳ chế độ nào hàng tuần	毎週に任意モードの対戦を%1s回プレイする		
1046023	GameName	秘宝挑战周登录任务	每周登录%1s次游戏	Log in to the game %1s times a week	Entrar no jogo %1s vezes por semana	Entrar no jogo %1s vezes por semana	Входить в игру%1s раз в неделю	일주일에 %1s 번 게임에 로그인하십시오	Melde dich mal pro Woche%1s beim Spiel an	Connectez-vous au jeu%1s fois par semaine	Iniciar sesión %1s vez cada semana	Accedi al gioco%1s volte a settimana	Masuk ke game%1s kali seminggu	ลงชื่อเข้าใช้เกม%1s ครั้งต่อสัปดาห์	Haftada%1s oyuna giriş yapın	Đăng nhập vào trò chơi%1s lần một tuần	毎週にゲームを%1s回ログインする		
1046024	GameName	秘宝挑战周前10任务	每周获得%1s次前10名的战绩	Achieve %1s top 10 records every week	Alcance %1s dos 10 melhores registros todas as semanas	Alcance %1s dos 10 melhores registros todas as semanas	Достигайте 10 лучших рекордов каждую неделю	매주 %1s 상위 10 개 기록 달성	Erreiche jede Woche%1s Top 10-Rekorde	Obtenez le top 10 0/15 fois chaque semaine	Ocupar uno de los primeros 10 puestos %1s vez cada semana	Ottieni%1s primi 10 record ogni settimana	Mencapai%1s 10 rekor teratas setiap minggu	ทำสถิติสูงสุด 10 อันดับแรกของ%1s ทุกสัปดาห์	Her hafta%1s ilk 10 kaydını elde edin	Đạt được%1s top 10 kỷ lục mỗi tuần	毎週に%1s回順位が10位以内に入る		
1046025	GameName	秘宝挑战周宝箱任务	每周开启%1s个宝箱	Open %1s treasure chest every week	Abra o baú do tesouro %1s todas as semanas	Abra o baú do tesouro %1s todas as semanas	Открывайте сундук с сокровищами%1s каждую неделю	매주 %1s 보물 상자 열기	Öffne jede Woche die Schatzkiste%1s	Ouvrez le coffre au trésor de%1s chaque semaine	Abrir %1s cofre de tesoro cada semana	Apri lo scrigno del tesoro di%1s ogni settimana	Buka peti harta karun%1s setiap minggu	เปิดหีบสมบัติ%1s ทุกสัปดาห์	Her hafta%1s hazine sandığı açın	Mở rương%1s giây mỗi tuần	毎週に宝箱を%1s個開く		
1046026	GameName	秘宝挑战周钥匙任务	每周消耗%1s个钥匙	Spend %1s keys per week	Gaste %1s chaves por semana	Gaste %1s chaves por semana	Тратьте%1s ключей в неделю	주당 %1s 개의 키 사용	Geben Sie%1s Schlüssel pro Woche aus	Dépenser%1s clés par semaine	Consumir %1s llave cada semana	Spendi%1s chiavi a settimana	Belanjakan%1s kunci per minggu	ใช้คีย์%1s วินาทีต่อสัปดาห์	Haftada%1s anahtar harcayın	Sử dụng phím%1s mỗi tuần	毎週にキーを%1s本使用する		
1046051	GameName	秘宝放弃倒计时	%1s小时%2s分钟后才可以放弃挑战	You can give up the challenge after %1s hours and %2s minute	Você pode desistir do desafio após %1s horas e %2s minutos	Você pode desistir do desafio após %1s horas e %2s minutos	Вы можете отказаться от задания через%1s часов и%2s минут	%1s 시간 %2s 분 후에 도전을 포기할 수 있습니다.	Sie können die Herausforderung nach%1s Stunden und%2s Minute aufgeben	Vous pouvez abandonner le défi après%1s heures et%2s minute	Puede renunciar el reto después de %1s horas and %2s minutos	Puoi rinunciare alla sfida dopo%1s ore e%2s minuto	Anda dapat menghentikan tantangan setelah%1s jam dan%2s menit	คุณสามารถยกเลิกการท้าทายได้หลังจาก%1s วินาทีและ%2s วินาทีนาที	%1s saat ve%2s dakika sonra meydan okumadan vazgeçebilirsiniz	Bạn có thể từ bỏ thử thách sau%1s giây giờ và%2s giây phút	%1s時間%2s分後に挑戦をやめることができます		
